word,freq_zipf,language,source,n_density,old20
assassination,3.82,en,wordfreq,0,5.7
assault,4.44,en,wordfreq,0,3.4
assembled,3.96,en,wordfreq,0,3.85
assembly,4.61,en,wordfreq,0,4.05
asses,3.79,en,wordfreq,2,1.7
assess,4.07,en,wordfreq,1,2.35
assessed,3.9,en,wordfreq,0,2.8
assessment,4.46,en,wordfreq,0,4.1
assessments,3.79,en,wordfreq,0,4.35
asset,4.23,en,wordfreq,1,2.05
assets,4.56,en,wordfreq,1,2.4
asshole,4.34,en,wordfreq,0,3.45
assigned,4.39,en,wordfreq,0,3.2
assignment,4.18,en,wordfreq,0,4.25
assignments,3.88,en,wordfreq,0,4.4
assist,4.42,en,wordfreq,0,2.5
assistance,4.59,en,wordfreq,0,3.75
assistant,4.72,en,wordfreq,0,3.65
assisted,4.1,en,wordfreq,0,2.75
assisting,3.79,en,wordfreq,0,3.3
assists,4.03,en,wordfreq,0,2.7
associate,4.39,en,wordfreq,0,3.7
associated,4.89,en,wordfreq,1,3.7
associates,4.14,en,wordfreq,1,4.05
association,5.01,en,wordfreq,0,4.1
associations,4.02,en,wordfreq,0,4.45
assume,4.57,en,wordfreq,1,2.55
assumed,4.39,en,wordfreq,2,2.55
assumes,3.78,en,wordfreq,1,2.6
assuming,4.23,en,wordfreq,0,3.45
assumption,4.07,en,wordfreq,0,4.25
assumptions,3.95,en,wordfreq,0,4.6
assurance,3.81,en,wordfreq,0,3.75
assure,4.06,en,wordfreq,1,2.5
assured,4.07,en,wordfreq,1,2.6
asylum,3.99,en,wordfreq,0,3.65
at,6.7,en,wordfreq,28,1.0
ate,4.34,en,wordfreq,8,1.05
athens,3.92,en,wordfreq,0,2.6
athlete,4.11,en,wordfreq,0,3.25
athletes,4.34,en,wordfreq,0,3.45
athletic,4.12,en,wordfreq,0,3.4
athletics,3.82,en,wordfreq,0,3.6
atlanta,4.37,en,wordfreq,0,3.45
atlantic,4.39,en,wordfreq,0,3.65
atlas,3.8,en,wordfreq,0,2.7
atm,3.85,en,wordfreq,3,1.75
atmosphere,4.46,en,wordfreq,0,5.3
atmospheric,3.84,en,wordfreq,0,6.05
atomic,3.98,en,wordfreq,0,2.85
attached,4.52,en,wordfreq,1,3.0
attachment,3.88,en,wordfreq,0,4.55
attack,5.09,en,wordfreq,0,2.7
attacked,4.52,en,wordfreq,1,2.95
attacking,4.29,en,wordfreq,0,3.25
attacks,4.68,en,wordfreq,0,2.8
attempt,4.85,en,wordfreq,0,3.5
attempted,4.42,en,wordfreq,0,3.45
attempting,4.27,en,wordfreq,0,4.15
attempts,4.5,en,wordfreq,0,3.65
attend,4.55,en,wordfreq,0,2.65
attendance,4.17,en,wordfreq,0,4.4
attended,4.47,en,wordfreq,0,3.15
attending,4.31,en,wordfreq,0,3.15
attention,5.11,en,wordfreq,0,3.25
attitude,4.58,en,wordfreq,1,3.5
attitudes,4.01,en,wordfreq,0,4.05
attorney,4.69,en,wordfreq,0,3.85
attorneys,4.01,en,wordfreq,0,4.35
attract,4.2,en,wordfreq,0,3.05
attracted,4.31,en,wordfreq,0,3.3
